Day,Classroom,Time,Course,Section
Monday,49,4:00 PM - 5:30 PM,ML Lab,BDS-7A
Monday,49,5:30 PM - 7:00 PM,Networks Lab,BDS-2A
Monday,49,7:00 PM - 8:30 PM,Web Dev Lab,BCS-1C
Tuesday,0,8:30 AM - 10:00 AM,Database Systems,BCS-1A
Tuesday,0,10:00 AM - 11:30 AM,Operating Systems,BDS-7A
Tuesday,0,11:30 AM - 1:00 PM,Computer Networks,BCS-1B
Tuesday,0,1:00 PM - 2:30 PM,Software Engineering,BCS-3A
Tuesday,0,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-8A
Tuesday,0,4:00 PM - 5:30 PM,Machine Learning,BDS-6A
Tuesday,0,5:30 PM - 7:00 PM,Computer Architecture,BDS-3A
Tuesday,0,7:00 PM - 8:30 PM,Web Development,BDS-8A
Tuesday,1,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-2A
Tuesday,1,10:00 AM - 11:30 AM,Data Structures,BDS-8A
Tuesday,1,11:30 AM - 1:00 PM,Linear Algebra,BDS-8A
Tuesday,1,1:00 PM - 2:30 PM,Statistics,BCS-1B
Tuesday,1,2:30 PM - 4:00 PM,Database Systems,BCS-7A
Tuesday,1,4:00 PM - 5:30 PM,Operating Systems,BCS-1B
Tuesday,1,5:30 PM - 7:00 PM,Computer Networks,BCS-1A
Tuesday,1,7:00 PM - 8:30 PM,Software Engineering,BDS-7A
Tuesday,2,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-1B
Tuesday,2,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Tuesday,2,11:30 AM - 1:00 PM,Computer Architecture,BDS-7A
Tuesday,2,1:00 PM - 2:30 PM,Web Development,BSD-1A
Tuesday,2,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-1C
Tuesday,2,4:00 PM - 5:30 PM,Data Structures,BCS-1A
Tuesday,2,5:30 PM - 7:00 PM,Linear Algebra,BDS-2A
Tuesday,2,7:00 PM - 8:30 PM,Statistics,BDS-3A
Tuesday,3,8:30 AM - 10:00 AM,Database Systems,BCS-1A
Tuesday,3,10:00 AM - 11:30 AM,Operating Systems,BDS-5A
Tuesday,3,11:30 AM - 1:00 PM,Computer Networks,BDS-3A
Tuesday,3,1:00 PM - 2:30 PM,Software Engineering,BCS-1A
Tuesday,3,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-6A
Tuesday,3,4:00 PM - 5:30 PM,Machine Learning,BDS-2A
Tuesday,3,5:30 PM - 7:00 PM,Computer Architecture,BDS-8A
Tuesday,3,7:00 PM - 8:30 PM,Web Development,BCS-1B
Tuesday,4,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-7A
Tuesday,4,10:00 AM - 11:30 AM,Data Structures,BDS-8A
Tuesday,4,11:30 AM - 1:00 PM,Linear Algebra,BCS-6B
Tuesday,4,1:00 PM - 2:30 PM,Statistics,BDS-8A
Tuesday,4,2:30 PM - 4:00 PM,Database Systems,BCS-3A
Tuesday,4,4:00 PM - 5:30 PM,Operating Systems,BCS-7A
Tuesday,4,5:30 PM - 7:00 PM,Computer Networks,BDS-3A
Tuesday,4,7:00 PM - 8:30 PM,Software Engineering,BDS-4A
Tuesday,5,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-5A
Tuesday,5,10:00 AM - 11:30 AM,Machine Learning,BCS-3A
Tuesday,5,11:30 AM - 1:00 PM,Computer Architecture,BCS-1C
Tuesday,5,1:00 PM - 2:30 PM,Web Development,BCS-1B
Tuesday,5,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-7A
Tuesday,5,4:00 PM - 5:30 PM,Data Structures,BDS-8A
Tuesday,5,5:30 PM - 7:00 PM,Linear Algebra,BDS-6A
Tuesday,5,7:00 PM - 8:30 PM,Statistics,BDS-6A
Tuesday,6,8:30 AM - 10:00 AM,Database Systems,BDS-6A
Tuesday,6,10:00 AM - 11:30 AM,Operating Systems,BDS-5A
Tuesday,6,11:30 AM - 1:00 PM,Computer Networks,BDS-8A
Tuesday,6,1:00 PM - 2:30 PM,Software Engineering,BSD-1A
Tuesday,6,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-8A
Tuesday,6,4:00 PM - 5:30 PM,Machine Learning,BDS-8A
Tuesday,6,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Tuesday,6,7:00 PM - 8:30 PM,Web Development,BDS-3A
Tuesday,7,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-7A
Tuesday,7,10:00 AM - 11:30 AM,Data Structures,BDS-7A
Tuesday,7,11:30 AM - 1:00 PM,Linear Algebra,BCS-1C
Tuesday,7,1:00 PM - 2:30 PM,Statistics,BCS-6B
Tuesday,7,2:30 PM - 4:00 PM,Database Systems,BDS-8A
Tuesday,7,4:00 PM - 5:30 PM,Operating Systems,BCS-1A
Tuesday,7,5:30 PM - 7:00 PM,Computer Networks,BCS-1C
Tuesday,7,7:00 PM - 8:30 PM,Software Engineering,BCS-3A
Tuesday,8,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-1A
Tuesday,8,10:00 AM - 11:30 AM,Machine Learning,BCS-1A
Tuesday,8,11:30 AM - 1:00 PM,Computer Architecture,BCS-3A
Tuesday,8,1:00 PM - 2:30 PM,Web Development,BCS-1B
Tuesday,8,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-1C
Tuesday,8,4:00 PM - 5:30 PM,Data Structures,BCS-2A
Tuesday,8,5:30 PM - 7:00 PM,Linear Algebra,BCS-6B
Tuesday,8,7:00 PM - 8:30 PM,Statistics,BCS-3A
Tuesday,9,8:30 AM - 10:00 AM,Database Systems,BDS-3A
Tuesday,9,10:00 AM - 11:30 AM,Operating Systems,BSD-1A
Tuesday,9,11:30 AM - 1:00 PM,Computer Networks,BCS-2A
Tuesday,9,1:00 PM - 2:30 PM,Software Engineering,BSD-1A
Tuesday,9,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-5A
Tuesday,9,4:00 PM - 5:30 PM,Machine Learning,BCS-3A
Tuesday,9,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Tuesday,9,7:00 PM - 8:30 PM,Web Development,BDS-7A
Tuesday,10,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-4A
Tuesday,10,10:00 AM - 11:30 AM,Data Structures,BCS-1C
Tuesday,10,11:30 AM - 1:00 PM,Linear Algebra,BDS-7A
Tuesday,10,1:00 PM - 2:30 PM,Statistics,BDS-7A
Tuesday,10,2:30 PM - 4:00 PM,Database Systems,BCS-7A
Tuesday,10,4:00 PM - 5:30 PM,Operating Systems,BDS-4A
Tuesday,10,5:30 PM - 7:00 PM,Computer Networks,BCS-3A
Tuesday,10,7:00 PM - 8:30 PM,Software Engineering,BDS-6A
Tuesday,11,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-2A
Tuesday,11,10:00 AM - 11:30 AM,Machine Learning,BDS-2A
Tuesday,11,11:30 AM - 1:00 PM,Computer Architecture,BCS-6B
Tuesday,11,1:00 PM - 2:30 PM,Web Development,BDS-3A
Tuesday,11,2:30 PM - 4:00 PM,Programming Fundamentals,BSD-1A
Tuesday,11,4:00 PM - 5:30 PM,Data Structures,BSD-1A
Tuesday,11,5:30 PM - 7:00 PM,Linear Algebra,BCS-1A
Tuesday,11,7:00 PM - 8:30 PM,Statistics,BDS-7A
Tuesday,12,8:30 AM - 10:00 AM,Database Systems,BCS-7A
Tuesday,12,10:00 AM - 11:30 AM,Operating Systems,BDS-6A
Tuesday,12,11:30 AM - 1:00 PM,Computer Networks,BCS-1C
Tuesday,12,1:00 PM - 2:30 PM,Software Engineering,BDS-8A
Tuesday,12,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-5A
Tuesday,12,4:00 PM - 5:30 PM,Machine Learning,BCS-2A
Tuesday,12,5:30 PM - 7:00 PM,Computer Architecture,BSD-1A
Tuesday,12,7:00 PM - 8:30 PM,Web Development,BDS-5A
Tuesday,13,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-1C
Tuesday,13,10:00 AM - 11:30 AM,Data Structures,BCS-1C
Tuesday,13,11:30 AM - 1:00 PM,Linear Algebra,BDS-5A
Tuesday,13,1:00 PM - 2:30 PM,Statistics,BDS-2A
Tuesday,13,2:30 PM - 4:00 PM,Database Systems,BDS-3A
Tuesday,13,4:00 PM - 5:30 PM,Operating Systems,BDS-2A
Tuesday,13,5:30 PM - 7:00 PM,Computer Networks,BCS-7A
Tuesday,13,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Tuesday,14,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-4A
Tuesday,14,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Tuesday,14,11:30 AM - 1:00 PM,Computer Architecture,BDS-5A
Tuesday,14,1:00 PM - 2:30 PM,Web Development,BDS-7A
Tuesday,14,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-2A
Tuesday,14,4:00 PM - 5:30 PM,Data Structures,BCS-6B
Tuesday,14,5:30 PM - 7:00 PM,Linear Algebra,BCS-1B
Tuesday,14,7:00 PM - 8:30 PM,Statistics,BCS-7A
Tuesday,15,8:30 AM - 10:00 AM,Database Systems,BCS-2A
Tuesday,15,10:00 AM - 11:30 AM,Operating Systems,BCS-2A
Tuesday,15,11:30 AM - 1:00 PM,Computer Networks,BCS-6B
Tuesday,15,1:00 PM - 2:30 PM,Software Engineering,BDS-6A
Tuesday,15,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1C
Tuesday,15,4:00 PM - 5:30 PM,Machine Learning,BDS-7A
Tuesday,15,5:30 PM - 7:00 PM,Computer Architecture,BCS-6B
Tuesday,15,7:00 PM - 8:30 PM,Web Development,BDS-6A
Tuesday,16,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-5A
Tuesday,16,10:00 AM - 11:30 AM,Data Structures,BCS-7A
Tuesday,16,11:30 AM - 1:00 PM,Linear Algebra,BDS-3A
Tuesday,16,1:00 PM - 2:30 PM,Statistics,BDS-7A
Tuesday,16,2:30 PM - 4:00 PM,Database Systems,BCS-6B
Tuesday,16,4:00 PM - 5:30 PM,Operating Systems,BDS-6A
Tuesday,16,5:30 PM - 7:00 PM,Computer Networks,BCS-1B
Tuesday,16,7:00 PM - 8:30 PM,Software Engineering,BCS-1C
Tuesday,17,8:30 AM - 10:00 AM,Artificial Intelligence,BSD-1A
Tuesday,17,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Tuesday,17,11:30 AM - 1:00 PM,Computer Architecture,BDS-2A
Tuesday,17,1:00 PM - 2:30 PM,Web Development,BDS-7A
Tuesday,17,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-2A
Tuesday,17,4:00 PM - 5:30 PM,Data Structures,BDS-3A
Tuesday,17,5:30 PM - 7:00 PM,Linear Algebra,BCS-1A
Tuesday,17,7:00 PM - 8:30 PM,Statistics,BCS-7A
Tuesday,18,8:30 AM - 10:00 AM,Database Systems,BSD-1A
Tuesday,18,10:00 AM - 11:30 AM,Operating Systems,BDS-7A
Tuesday,18,11:30 AM - 1:00 PM,Computer Networks,BCS-1A
Tuesday,18,1:00 PM - 2:30 PM,Software Engineering,BDS-8A
Tuesday,18,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-8A
Tuesday,18,4:00 PM - 5:30 PM,Machine Learning,BCS-6B
Tuesday,18,5:30 PM - 7:00 PM,Computer Architecture,BCS-2A
Tuesday,18,7:00 PM - 8:30 PM,Web Development,BDS-8A
Tuesday,19,8:30 AM - 10:00 AM,Programming Fundamentals,BSD-1A
Tuesday,19,10:00 AM - 11:30 AM,Data Structures,BCS-6B
Tuesday,19,11:30 AM - 1:00 PM,Linear Algebra,BCS-2A
Tuesday,19,1:00 PM - 2:30 PM,Statistics,BCS-6B
Tuesday,19,2:30 PM - 4:00 PM,Database Systems,BCS-3A
Tuesday,19,4:00 PM - 5:30 PM,Operating Systems,BCS-3A
Tuesday,19,5:30 PM - 7:00 PM,Computer Networks,BCS-1B
Tuesday,19,7:00 PM - 8:30 PM,Software Engineering,BCS-7A
Tuesday,20,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-6A
Tuesday,20,10:00 AM - 11:30 AM,Machine Learning,BDS-2A
Tuesday,20,11:30 AM - 1:00 PM,Computer Architecture,BDS-5A
Tuesday,20,1:00 PM - 2:30 PM,Web Development,BCS-1A
Tuesday,20,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-2A
Tuesday,20,4:00 PM - 5:30 PM,Data Structures,BCS-1C
Tuesday,20,5:30 PM - 7:00 PM,Linear Algebra,BDS-7A
Tuesday,20,7:00 PM - 8:30 PM,Statistics,BCS-3A
Tuesday,21,8:30 AM - 10:00 AM,Database Systems,BCS-1C
Tuesday,21,10:00 AM - 11:30 AM,Operating Systems,BCS-1B
Tuesday,21,11:30 AM - 1:00 PM,Computer Networks,BCS-1C
Tuesday,21,1:00 PM - 2:30 PM,Software Engineering,BCS-2A
Tuesday,21,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1C
Tuesday,21,4:00 PM - 5:30 PM,Machine Learning,BCS-2A
Tuesday,21,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Tuesday,21,7:00 PM - 8:30 PM,Web Development,BDS-6A
Tuesday,22,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-5A
Tuesday,22,10:00 AM - 11:30 AM,Data Structures,BDS-2A
Tuesday,22,11:30 AM - 1:00 PM,Linear Algebra,BCS-2A
Tuesday,22,1:00 PM - 2:30 PM,Statistics,BCS-7A
Tuesday,22,2:30 PM - 4:00 PM,Database Systems,BSD-1A
Tuesday,22,4:00 PM - 5:30 PM,Operating Systems,BCS-1A
Tuesday,22,5:30 PM - 7:00 PM,Computer Networks,BCS-3A
Tuesday,22,7:00 PM - 8:30 PM,Software Engineering,BCS-1C
Tuesday,23,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-6B
Tuesday,23,10:00 AM - 11:30 AM,Machine Learning,BCS-3A
Tuesday,23,11:30 AM - 1:00 PM,Computer Architecture,BCS-3A
Tuesday,23,1:00 PM - 2:30 PM,Web Development,BCS-1C
Tuesday,23,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-3A
Tuesday,23,4:00 PM - 5:30 PM,Data Structures,BCS-6B
Tuesday,23,5:30 PM - 7:00 PM,Linear Algebra,BCS-1C
Tuesday,23,7:00 PM - 8:30 PM,Statistics,BCS-3A
Tuesday,24,8:30 AM - 10:00 AM,Database Systems,BCS-1C
Tuesday,24,10:00 AM - 11:30 AM,Operating Systems,BCS-1B
Tuesday,24,11:30 AM - 1:00 PM,Computer Networks,BDS-4A
Tuesday,24,1:00 PM - 2:30 PM,Software Engineering,BCS-2A
Tuesday,24,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-6B
Tuesday,24,4:00 PM - 5:30 PM,Machine Learning,BCS-7A
Tuesday,24,5:30 PM - 7:00 PM,Computer Architecture,BDS-4A
Tuesday,24,7:00 PM - 8:30 PM,Web Development,BCS-1A
Tuesday,25,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-2A
Tuesday,25,10:00 AM - 11:30 AM,Data Structures,BCS-1A
Tuesday,25,11:30 AM - 1:00 PM,Linear Algebra,BSD-1A
Tuesday,25,1:00 PM - 2:30 PM,Statistics,BDS-7A
Tuesday,25,2:30 PM - 4:00 PM,Database Systems,BCS-2A
Tuesday,25,4:00 PM - 5:30 PM,Operating Systems,BSD-1A
Tuesday,25,5:30 PM - 7:00 PM,Computer Networks,BSD-1A
Tuesday,25,7:00 PM - 8:30 PM,Software Engineering,BDS-8A
Tuesday,26,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-7A
Tuesday,26,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Tuesday,26,11:30 AM - 1:00 PM,Computer Architecture,BDS-6A
Tuesday,26,1:00 PM - 2:30 PM,Web Development,BCS-1B
Tuesday,26,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-3A
Tuesday,26,4:00 PM - 5:30 PM,Data Structures,BDS-3A
Tuesday,26,5:30 PM - 7:00 PM,Linear Algebra,BCS-1B
Tuesday,26,7:00 PM - 8:30 PM,Statistics,BCS-3A
Tuesday,27,8:30 AM - 10:00 AM,Database Systems,BCS-7A
Tuesday,27,10:00 AM - 11:30 AM,Operating Systems,BCS-6B
Tuesday,27,11:30 AM - 1:00 PM,Computer Networks,BCS-7A
Tuesday,27,1:00 PM - 2:30 PM,Software Engineering,BDS-8A
Tuesday,27,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1A
Tuesday,27,4:00 PM - 5:30 PM,Machine Learning,BCS-7A
Tuesday,27,5:30 PM - 7:00 PM,Computer Architecture,BDS-5A
Tuesday,27,7:00 PM - 8:30 PM,Web Development,BDS-8A
Tuesday,28,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-3A
Tuesday,28,10:00 AM - 11:30 AM,Data Structures,BDS-7A
Tuesday,28,11:30 AM - 1:00 PM,Linear Algebra,BSD-1A
Tuesday,28,1:00 PM - 2:30 PM,Statistics,BDS-4A
Tuesday,28,2:30 PM - 4:00 PM,Database Systems,BCS-2A
Tuesday,28,4:00 PM - 5:30 PM,Operating Systems,BDS-6A
Tuesday,28,5:30 PM - 7:00 PM,Computer Networks,BDS-2A
Tuesday,28,7:00 PM - 8:30 PM,Software Engineering,BCS-1B
Tuesday,29,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-6A
Tuesday,29,10:00 AM - 11:30 AM,Machine Learning,BCS-1A
Tuesday,29,11:30 AM - 1:00 PM,Computer Architecture,BCS-2A
Tuesday,29,1:00 PM - 2:30 PM,Web Development,BDS-4A
Tuesday,29,2:30 PM - 4:00 PM,Programming Fundamentals,BSD-1A
Tuesday,29,4:00 PM - 5:30 PM,Data Structures,BCS-1A
Tuesday,29,5:30 PM - 7:00 PM,Linear Algebra,BCS-6B
Tuesday,29,7:00 PM - 8:30 PM,Statistics,BCS-1B
Tuesday,30,8:30 AM - 10:00 AM,Database Systems,BCS-1B
Tuesday,30,10:00 AM - 11:30 AM,Operating Systems,BDS-4A
Tuesday,30,11:30 AM - 1:00 PM,Computer Networks,BCS-3A
Tuesday,30,1:00 PM - 2:30 PM,Software Engineering,BCS-1B
Tuesday,30,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-3A
Tuesday,30,4:00 PM - 5:30 PM,Machine Learning,BCS-3A
Tuesday,30,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Tuesday,30,7:00 PM - 8:30 PM,Web Development,BCS-1B
Tuesday,31,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-4A
Tuesday,31,10:00 AM - 11:30 AM,Data Structures,BCS-1B
Tuesday,31,11:30 AM - 1:00 PM,Linear Algebra,BCS-1C
Tuesday,31,1:00 PM - 2:30 PM,Statistics,BCS-2A
Tuesday,31,2:30 PM - 4:00 PM,Database Systems,BCS-1C
Tuesday,31,4:00 PM - 5:30 PM,Operating Systems,BCS-3A
Tuesday,31,5:30 PM - 7:00 PM,Computer Networks,BDS-5A
Tuesday,31,7:00 PM - 8:30 PM,Software Engineering,BCS-1A
Tuesday,32,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-5A
Tuesday,32,10:00 AM - 11:30 AM,Machine Learning,BDS-5A
Tuesday,32,11:30 AM - 1:00 PM,Computer Architecture,BDS-4A
Tuesday,32,1:00 PM - 2:30 PM,Web Development,BCS-1B
Tuesday,32,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-4A
Tuesday,32,4:00 PM - 5:30 PM,Data Structures,BDS-5A
Tuesday,32,5:30 PM - 7:00 PM,Linear Algebra,BCS-1C
Tuesday,32,7:00 PM - 8:30 PM,Statistics,BCS-1B
Tuesday,33,8:30 AM - 10:00 AM,Database Systems,BCS-3A
Tuesday,33,10:00 AM - 11:30 AM,Operating Systems,BDS-7A
Tuesday,33,11:30 AM - 1:00 PM,Computer Networks,BDS-3A
Tuesday,33,1:00 PM - 2:30 PM,Software Engineering,BDS-2A
Tuesday,33,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-6A
Tuesday,33,4:00 PM - 5:30 PM,Machine Learning,BCS-7A
Tuesday,33,5:30 PM - 7:00 PM,Computer Architecture,BSD-1A
Tuesday,33,7:00 PM - 8:30 PM,Web Development,BDS-7A
Tuesday,34,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-7A
Tuesday,34,10:00 AM - 11:30 AM,Data Structures,BCS-1C
Tuesday,34,11:30 AM - 1:00 PM,Linear Algebra,BSD-1A
Tuesday,34,1:00 PM - 2:30 PM,Statistics,BCS-1C
Tuesday,34,2:30 PM - 4:00 PM,Database Systems,BCS-1C
Tuesday,34,4:00 PM - 5:30 PM,Operating Systems,BDS-2A
Tuesday,34,5:30 PM - 7:00 PM,Computer Networks,BCS-6B
Tuesday,34,7:00 PM - 8:30 PM,Software Engineering,BDS-3A
Tuesday,35,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-7A
Tuesday,35,10:00 AM - 11:30 AM,Machine Learning,BCS-6B
Tuesday,35,11:30 AM - 1:00 PM,Computer Architecture,BCS-7A
Tuesday,35,1:00 PM - 2:30 PM,Web Development,BDS-8A
Tuesday,35,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-2A
Tuesday,35,4:00 PM - 5:30 PM,Data Structures,BCS-7A
Tuesday,35,5:30 PM - 7:00 PM,Linear Algebra,BDS-7A
Tuesday,35,7:00 PM - 8:30 PM,Statistics,BCS-1C
Tuesday,36,8:30 AM - 10:00 AM,Database Systems,BDS-8A
Tuesday,36,10:00 AM - 11:30 AM,Operating Systems,BCS-7A
Tuesday,36,11:30 AM - 1:00 PM,Computer Networks,BDS-5A
Tuesday,36,1:00 PM - 2:30 PM,Software Engineering,BDS-4A
Tuesday,36,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-7A
Tuesday,36,4:00 PM - 5:30 PM,Machine Learning,BDS-3A
Tuesday,36,5:30 PM - 7:00 PM,Computer Architecture,BDS-5A
Tuesday,36,7:00 PM - 8:30 PM,Web Development,BDS-3A
Tuesday,37,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-3A
Tuesday,37,10:00 AM - 11:30 AM,Data Structures,BDS-3A
Tuesday,37,11:30 AM - 1:00 PM,Linear Algebra,BDS-4A
Tuesday,37,1:00 PM - 2:30 PM,Statistics,BDS-6A
Tuesday,37,2:30 PM - 4:00 PM,Database Systems,BCS-1A
Tuesday,37,4:00 PM - 5:30 PM,Operating Systems,BDS-5A
Tuesday,37,5:30 PM - 7:00 PM,Computer Networks,BCS-3A
Tuesday,37,7:00 PM - 8:30 PM,Software Engineering,BCS-2A
Tuesday,38,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-6B
Tuesday,38,10:00 AM - 11:30 AM,Machine Learning,BCS-1C
Tuesday,38,11:30 AM - 1:00 PM,Computer Architecture,BDS-5A
Tuesday,38,1:00 PM - 2:30 PM,Web Development,BSD-1A
Tuesday,38,2:30 PM - 4:00 PM,Programming Fundamentals,BSD-1A
Tuesday,38,4:00 PM - 5:30 PM,Data Structures,BSD-1A
Tuesday,38,5:30 PM - 7:00 PM,Linear Algebra,BCS-1C
Tuesday,38,7:00 PM - 8:30 PM,Statistics,BDS-4A
Tuesday,39,8:30 AM - 10:00 AM,Database Systems,BCS-2A
Tuesday,39,10:00 AM - 11:30 AM,Operating Systems,BCS-1A
Tuesday,39,11:30 AM - 1:00 PM,Computer Networks,BDS-7A
Tuesday,39,1:00 PM - 2:30 PM,Software Engineering,BCS-6B
Tuesday,39,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1B
Tuesday,39,4:00 PM - 5:30 PM,Machine Learning,BDS-8A
Tuesday,39,5:30 PM - 7:00 PM,Computer Architecture,BCS-6B
Tuesday,39,7:00 PM - 8:30 PM,Web Development,BCS-1A
Tuesday,40,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-2A
Tuesday,40,10:00 AM - 11:30 AM,Data Structures,BDS-8A
Tuesday,40,11:30 AM - 1:00 PM,Linear Algebra,BDS-6A
Tuesday,40,1:00 PM - 2:30 PM,Statistics,BDS-3A
Tuesday,40,2:30 PM - 4:00 PM,Database Systems,BDS-6A
Tuesday,40,4:00 PM - 5:30 PM,Operating Systems,BCS-7A
Tuesday,40,5:30 PM - 7:00 PM,Computer Networks,BCS-1A
Tuesday,40,7:00 PM - 8:30 PM,Software Engineering,BCS-7A
Tuesday,41,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-1A
Tuesday,41,10:00 AM - 11:30 AM,Machine Learning,BCS-6B
Tuesday,41,11:30 AM - 1:00 PM,Computer Architecture,BCS-1A
Tuesday,41,1:00 PM - 2:30 PM,Web Development,BCS-1B
Tuesday,41,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-6A
Tuesday,41,4:00 PM - 5:30 PM,Data Structures,BDS-2A
Tuesday,41,5:30 PM - 7:00 PM,Linear Algebra,BDS-6A
Tuesday,41,7:00 PM - 8:30 PM,Statistics,BCS-6B
Tuesday,42,8:30 AM - 10:00 AM,Database Systems,BSD-1A
Tuesday,42,10:00 AM - 11:30 AM,Operating Systems,BCS-1C
Tuesday,42,11:30 AM - 1:00 PM,Computer Networks,BDS-4A
Tuesday,42,1:00 PM - 2:30 PM,Software Engineering,BCS-3A
Tuesday,42,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-8A
Tuesday,42,4:00 PM - 5:30 PM,Machine Learning,BDS-3A
Tuesday,42,5:30 PM - 7:00 PM,Computer Architecture,BDS-6A
Tuesday,42,7:00 PM - 8:30 PM,Web Development,BCS-7A
Tuesday,43,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-6A
Tuesday,43,10:00 AM - 11:30 AM,Data Structures,BDS-2A
Tuesday,43,11:30 AM - 1:00 PM,Linear Algebra,BDS-6A
Tuesday,43,1:00 PM - 2:30 PM,Statistics,BDS-3A
Tuesday,43,2:30 PM - 4:00 PM,Database Systems,BCS-7A
Tuesday,43,4:00 PM - 5:30 PM,Operating Systems,BCS-2A
Tuesday,43,5:30 PM - 7:00 PM,Computer Networks,BCS-1A
Tuesday,43,7:00 PM - 8:30 PM,Software Engineering,BCS-1C
Tuesday,44,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-6B
Tuesday,44,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Tuesday,44,11:30 AM - 1:00 PM,Computer Architecture,BCS-2A
Tuesday,44,1:00 PM - 2:30 PM,Web Development,BCS-1C
Tuesday,44,2:30 PM - 4:00 PM,Programming Fundamentals,BSD-1A
Tuesday,44,4:00 PM - 5:30 PM,Data Structures,BCS-7A
Tuesday,44,5:30 PM - 7:00 PM,Linear Algebra,BCS-7A
Tuesday,44,7:00 PM - 8:30 PM,Statistics,BDS-5A
Tuesday,45,8:30 AM - 10:00 AM,Database Systems,BDS-7A
Tuesday,45,10:00 AM - 11:30 AM,Operating Systems,BCS-6B
Tuesday,45,11:30 AM - 1:00 PM,Computer Networks,BSD-1A
Tuesday,45,1:00 PM - 2:30 PM,Software Engineering,BDS-3A
Tuesday,45,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-2A
Tuesday,45,4:00 PM - 5:30 PM,Machine Learning,BDS-4A
Tuesday,45,5:30 PM - 7:00 PM,Computer Architecture,BCS-1A
Tuesday,45,7:00 PM - 8:30 PM,Web Development,BCS-3A
Tuesday,46,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-8A
Tuesday,46,10:00 AM - 11:30 AM,Data Structures,BCS-3A
Tuesday,46,11:30 AM - 1:00 PM,Linear Algebra,BDS-6A
Tuesday,46,1:00 PM - 2:30 PM,Statistics,BSD-1A
Tuesday,46,2:30 PM - 4:00 PM,Database Systems,BCS-6B
